방이름,보증금,월세,전세,방 수,욕실 수,주소,평 수,관리비,주차 여부,방향,층,총 층,건축물 용도,전세여부,월세여부,부동산 이름,부동산 전화번호,복층 여부,사용승인일,내부시설,기타시설
다가구B1층,"3,000",40,0,2,1,서울시 서초구 반포동 720-31,15.12평/14.82평(전용률98%),5만원,불가능,동향(안방 기준),B1,4,단독주택,0,1,월드공인중개사사무소,02-518-5185,단층,1992.02.28,"싱크대, 가스레인지, 벽걸이에어컨, ","베란다, "
다가구B1층,500,55,0,1,1,서울시 서초구 반포동 709-4,9.41평/8.17평(전용률87%),6만원,가능,남향(거실 기준),3,5,공동주택,0,1,"오렌지하우스공인중개사사무소
","02-512-4243,010-9138-1122",none,2011.11.28,"가스레인지, 냉장고, 세탁기, 싱크대, 벽걸이에어컨, ",none
빌라3층,"4,000",50,0,1,1,서울시 서초구 반포동 720-6,12.4평/10.41평(전용률84%),7만원,가능,북향(안방 기준),1,4,공동주택,0,1,바른공인중개사사무소,"02-557-0473,010-2677-0474",단층,2000.06.30,"냉장고, 싱크대, 인덕션레인지, 벽걸이에어컨, ","엘리베이터, 베란다, "
일반원룸 신우빌리지1층,"1,000",85,0,1,1,서울시 서초구 반포동 714-10,13.04평/12.07평(전용률93%),5만원,가능,서향(안방 기준),3,5,공동주택,0,1,가람공인중개사사무소,"02-567-8007,010-8405-2600",none,2004.08.03,"싱크대, 인덕션레인지, 벽걸이에어컨, ","현관보안, 베란다, "
빌라3층,"3,000",90,0,1,1,서울시 서초구 반포동 701-24,9.98평/9.07평(전용률91%),5만원,불가능,남서향(안방 기준),1,3,단독주택,0,1,월드공인중개사사무소,02-518-5185,단층,1995.07.27,"침대, 신발장, 냉장고, 세탁기, 싱크대, 가스레인지, 전자레인지, 벽걸이에어컨, ","사설경비, 베란다, "
다가구 문정빌라1층,100,65,0,1,1,서울시 서초구 반포동 726-31,7.98평/7.98평(전용률100%),7만원,가능,동향(안방 기준),2,4,단독주택,0,1,대영부동산공인중개사사무소,"02-515-5471,010-4776-7276",단층,2002.10.07,"신발장, 세탁기, 싱크대, 가스레인지, 벽걸이에어컨, ","베란다, "
다가구2층,"1,000",60,0,2,1,서울시 서초구 반포동 715-6,13.02평/11.49평(전용률88%),7만원,가능,남향(안방 기준),B1,5,단독주택,0,1,바른공인중개사사무소,"02-557-0473,010-2677-0474",단층,1997.10.09,"싱크대, 벽걸이에어컨, ","베란다, "
일반원룸 영빈주택B1층,1억,40,0,1,1,서울시 서초구 반포동 720-6,9.98평/9.98평(전용률100%),7만원,가능,북서향(안방 기준),1,4,공동주택,0,1,대영부동산공인중개사사무소,"02-515-5471,010-4776-7276",none,2000.06.30,"싱크대, 인덕션레인지, 벽걸이에어컨, ","엘리베이터, 베란다, "
빌라 신우빌리지1층,"1,000",85,0,1,1,서울시 서초구 반포동 112-10,55.44평/3.78평(전용률7%),8만원,불가능,남향(거실 기준),2,6,제2종 근린생활시설,0,1,"주식회사동거동락부동산중개법인
","010-9768-9926,010-9768-9926",단층,2012.06.14,"냉장고, 세탁기, 신발장, 옷장, 인덕션레인지, 책상, 벽걸이에어컨, ","경비원, 현관보안, CCTV, 엘리베이터, 화재경보기, "
일반원룸2층,500,60,0,2,1,서울시 서초구 반포동 734,13.99평/8.99평(전용률64%),5만원,불가능,남동향(거실 기준),중,5,단독주택,0,1,"아침공인중개사사무소
",02-549-3988,none,1993,"세탁기, 가스레인지, 벽걸이에어컨, ","사설경비, "
기타중층,"1,000",80,0,1,1,서울시 서초구 반포동 721-17,10.89평/9.98평(전용률92%),0원,불가능,남동향(안방 기준),2,5,단독주택,0,1,"정인부동산공인중개사사무소
",02-3445-8944,단층,1994.11.28,"싱크대, ","현관보안, 방범창, 베란다, "
일반원룸3층,"2,000",90,0,1,1,서울시 서초구 반포동 81-10,9.32평/7.98평(전용률86%),7.5만원,가능,동향(거실 기준),3,4,공동주택,0,1,"미주공인중개사사무소
",010-9874-0046,단층,1995.11.01,none,none
일반원룸3층,"2,000",90,0,2,1,서울시 서초구 반포동 725-2,12.7평/12.1평(전용률95%),5만원,불가능,남향(안방 기준),B1,4,단독주택,0,1,강남금호공인중개사사무소,"02-3444-6525,010-2508-6525",단층,1995.10,"사설경비, ",none
빌라,"1억 5,000",50,0,1,1,서울시 서초구 반포동 75-2,12.7평/12.7평(전용률100%),20만원,가능,동향(거실 기준),고,4,공동주택,0,1,채널공인중개사사무소,"02-3482-5001,010-9939-8448",none,1988.03.15,none,none
다가구B1층,500,55,0,2,1,서울시 서초구 반포동 720-31,11.97평/11.97평(전용률100%),5만원,불가능,남동향(거실 기준),B1,5,단독주택,0,1,대영부동산공인중개사사무소,"02-515-5471,010-4776-7276",단층,1992.02.28,"신발장, 세탁기, 싱크대, 가스레인지, 벽걸이에어컨, ","베란다, "
다가구B1층,500,55,0,1,1,서울시 서초구 반포동 717-14,6.98평/6.98평(전용률100%),5만원,불가능,남서향(안방 기준),B1,2,단독주택,0,1,대영부동산공인중개사사무소,"02-515-5471,010-4776-7276",단층,1989.05.22,"냉장고, 세탁기, 싱크대, 가스레인지, 벽걸이에어컨, ",none
다가구B1층,500,40,0,1,1,서울시 서초구 반포동 701-42,6.98평/6.98평(전용률100%),5만원,불가능,서향(안방 기준),2,3,단독주택,0,1,대영부동산공인중개사사무소,"02-515-5471,010-4776-7276",단층,1997.06.07,"냉장고, 세탁기, 싱크대, 가스레인지, 벽걸이에어컨, ","베란다, "
다가구2층,500,55,0,2,1,서울시 서초구 반포동 720-9,13.97평/13.97평(전용률100%),7만원,가능,동향(거실 기준),2,3,단독주택,0,1,대영부동산공인중개사사무소,"02-515-5471,010-4776-7276",단층,1995.11.01,"싱크대, 가스레인지, 벽걸이에어컨, ","베란다, "
다가구2층,"1,000",100,0,2,1,서울시 서초구 반포동 728-39,10.9평/9.81평(전용률90%),5만원,가능,남동향(거실 기준),1,3,단독주택,0,1,가온종합부동산중개법인(주),010-2479-2575,단층,1996.06.24,"신발장, 세탁기, 싱크대, 가스레인지, 벽걸이에어컨, ","인터폰, CCTV, 베란다, "
다가구1층,"1,000",85,0,1,1,서울시 서초구 반포동 715-45,13.97평/11.97평(전용률86%),5만원,가능,동향(거실 기준),B1,3,단독주택,0,1,부동산멘토공인중개사사무소,"02-508-1232,010-5457-2670",단층,1997,"싱크대, 벽걸이에어컨, ","베란다, "
다가구B1층,"1,000",55,0,1,1,서울시 서초구 반포동 734-35,6.98평/6.98평(전용률100%),10만원,불가능,동향(안방 기준),3,5,단독주택,0,1,대영부동산공인중개사사무소,"02-515-5471,010-4776-7276",단층,1990.12.20,"냉장고, 세탁기, 싱크대, 가스레인지, 벽걸이에어컨, ","사설경비, "
다가구3층,"1,000",40,0,1,1,서울시 서초구 반포동 715-34,6.98평/6.98평(전용률100%),7만원,불가능,남향(안방 기준),B1,2,단독주택,0,1,대영부동산공인중개사사무소,"02-515-5471,010-4776-7276",단층,1988.11.23,"신발장, 세탁기, 싱크대, 가스레인지, 벽걸이에어컨, ","베란다, "
다가구B1층,500,33,0,1,1,서울시 서초구 반포동,10.28평/10.28평(전용률100%),5만원,불가능,동향(안방 기준),2,3,단독주택,0,1,정부동산중개법인(주),"080-789-7889,010-8777-7889",단층,1998.04,"베란다, ",none
일반원룸저층,"1,000",60,0,1,1,서울시 서초구 반포동 711-22,10.83평/6.32평(전용률58%),0.001만원,불가능,남향(거실 기준),저,5,공동주택,0,1,"오렌지하우스공인중개사사무소
","02-512-4243,010-9138-1122",단층,2013.07.23,"냉장고, 붙박이장, 샤워부스, 세탁기, 신발장, 싱크대, 인덕션레인지, 벽걸이에어컨, ","인터폰, CCTV, "
빌라 1동중층,"3,000",95,0,1,1,서울시 서초구 반포동 714-10,13.03평/12.07평(전용률93%),0원,가능,서향(거실 기준),중,5,공동주택,0,1,"주식회사 더탑부동산중개법인
",02-555-2297,none,2004.08.03,"싱크대, 인덕션레인지, ","현관보안, CCTV, 비디오폰, 베란다, "
빌라 1동중층,"3,000",95,0,1,1,서울시 서초구 반포동 106-10,15.92평/12.99평(전용률82%),10만원,가능,북향(거실 기준),고,5,공동주택,0,1,"미주공인중개사사무소
",010-9874-0046,none,1997.11.25,none,none
빌라고층,1억,80,0,1,1,서울시 서초구 반포동 726-9,44.9평/7.47평(전용률17%),5만원,가능,동향(안방 기준),1,4,제1종 근린생활시설,0,1,%프로공인중개사사무소,"02-6449-3555,010-2440-4466",단층,1989.12.29,"냉장고, 세탁기, 싱크대, 인덕션레인지, 전자레인지, 벽걸이에어컨, ","인터폰, "
단독1층,"3,000",55,0,1,1,서울시 서초구 반포동 106-10,12.7평/12.7평(전용률100%),10만원,불가능,북향(거실 기준),4,5,공동주택,0,1,채널공인중개사사무소,"02-3482-5001,010-9939-8448",none,1997.11.25,none,none
빌라 1동중층,"3,000",95,0,1,1,서울시 서초구 반포동 714-10,12.17평/11.26평(전용률93%),0원,불가능,남동향(안방 기준),중,5,공동주택,0,1,"주식회사 더탑부동산중개법인
",02-555-2297,none,2004.08.03,"싱크대, 신발장, 인덕션레인지, 샤워부스, ","현관보안, 베란다, "
빌라1층,"3,000",55,0,1,1,서울시 서초구 반포동 726-9,10.95평/9.85평(전용률90%),5만원,가능,남동향(안방 기준),1,4,공동주택,0,1,"드림공인중개사사무소
",010-7571-6598,none,1989.12.29,"냉장고, 세탁기, 싱크대, 가스레인지, 벽걸이에어컨, ","비디오폰, 인터폰, 카드키, CCTV, 현관보안, "
빌라3층,"9,000",35,0,1,1,서울시 서초구 반포동 739-22,10.89평/10.89평(전용률100%),6만원,불가능,서향(안방 기준),3,3,단독주택,0,1,주식회사큐앤에이부동산중개,02-567-4944,none,1996.12.20,"싱크대, 가스레인지, ",none
다가구 1동2층,200,140,0,2,1,서울시 서초구 반포동 733-20,12.09평/12.09평(전용률100%),10만원,가능,남동향(안방 기준),2,3,단독주택,0,1,"주식회사 더탑부동산중개법인
",02-555-2297,단층,1991.05.14,"냉장고, 세탁기, 싱크대, 책상, 침대, ","현관보안, CCTV, 인터폰, 비디오폰, 화재경보기, "
다가구 1동2층,200,140,0,2,1,서울시 서초구 반포동 612-125,21.26평/13.81평(전용률65%),6만원,가능,남향(거실 기준),1,4,공동주택,0,1,방배마라톤공인중개사사무소,"02-537-6100,010-2075-6102",none,-,none,none
일반원룸 모던탑2층,"1,000",65,0,1,1,서울시 서초구 반포동 711-3,28.15평/9.37평(전용률33%),5만원,불가능,남향(거실 기준),2,3,단독주택,0,1,"오렌지하우스공인중개사사무소
","02-512-4243,010-9138-1122",단층,1998.06.08,"가스레인지, 냉장고, 세탁기, 싱크대, 벽걸이에어컨, ","베란다, "
일반원룸 모던탑2층,"1,000",65,0,1,1,서울시 서초구 반포동 711-22,11.73평/6.84평(전용률58%),0.001만원,가능,동향(거실 기준),4,5,공동주택,0,1,"오렌지하우스공인중개사사무소
","02-512-4243,010-9138-1122",단층,2013.07.23,"냉장고, 붙박이장, 샤워부스, 세탁기, 신발장, 싱크대, 인덕션레인지, 벽걸이에어컨, ","비디오폰, 인터폰, 현관보안, CCTV, 엘리베이터, 화재경보기, "
다가구B1층,"1,000",55,0,1,1,서울시 서초구 반포동 715-45,10.01평/10.01평(전용률100%),5만원,가능,남동향(거실 기준),B1,3,공동주택,0,1,"STAR부동산자산관리연구소공인중개사사무소
","02-545-3370,010-3057-3370",단층,1997.03.28,"가스레인지, 신발장, 싱크대, 벽걸이에어컨, ","현관보안, 베란다, "
다가구B1층,"1,000",55,0,1,1,서울시 서초구 반포동 711-3,8평/8평(전용률100%),5만원,불가능,남동향(거실 기준),2,3,공동주택,0,1,"STAR부동산자산관리연구소공인중개사사무소
","02-545-3370,010-3057-3370",단층,1998.06.08,"가스레인지, 냉장고, 세탁기, 신발장, 싱크대, 벽걸이에어컨, ","현관보안, 베란다, "
다가구2층,"1,000",68,0,1,1,서울시 서초구 반포동 714-10,13.04평/12.07평(전용률93%),0원,가능,남동향(거실 기준),3,5,공동주택,0,1,"드림부동산공인중개사사무소
","02-501-4002,010-2090-0040",none,2004.08.03,"싱크대, 인덕션레인지, 벽걸이에어컨, ","현관보안, 베란다, "
빌라3층,"3,000",95,0,1,1,서울시 서초구 반포동 717-13,6.95평/6.05평(전용률87%),7만원,불가능,동향(안방 기준),1,2,단독주택,0,1,월드공인중개사사무소,02-518-5185,단층,1989.02.25,"신발장, 냉장고, 세탁기, 싱크대, 가스레인지, 벽걸이에어컨, ","베란다, "
다가구1층,"1,000",50,0,1,1,서울시 서초구 반포동 727-7,2.74평/2.01평(전용률73%),7만원,가능,남서향(안방 기준),2,5,공동주택,0,1,바른공인중개사사무소,"02-557-0474,010-3685-7030",단층,2001.06.30,"침대, 책상, 옷장, 붙박이장, 식탁, 신발장, 냉장고, 세탁기, 싱크대, 가스레인지, 벽걸이에어컨, ","현관보안, 엘리베이터, 베란다, "
일반원룸 벨라지오텔2층,"1,000",80,0,2,1,서울시 서초구 반포동 701-30,23.51평/14.79평(전용률63%),0원,가능,서향(안방 기준),2,4,공동주택,0,1,가람공인중개사사무소,"02-567-8007,010-8405-2600",none,2002.10.30,"붙박이장, 스탠드에어컨, ","현관보안, 베란다, "
빌라 초원빌리지2층,"3,000",150,0,2,-,서울시 서초구 반포동,11.99평/11.99평(전용률100%),6만원,불가능,남동향(안방 기준),2,3,단독주택,0,1,멜로디부동산중개사사무소,"02-518-2959,010-8491-3325",단층,1989.12.04,"벽걸이에어컨, ","베란다, "
단독2층,500,72,0,1,1,서울시 서초구 반포동 715-40,13.61평/12.1평(전용률89%),7만원,불가능,서향(안방 기준),B1,5,단독주택,0,1,강남금호공인중개사사무소,"02-3444-6525,010-2508-6525",단층,1998.05,"침대, 붙박이장, 신발장, 냉장고, 세탁기, 샤워부스, 싱크대, 가스레인지, 벽걸이에어컨, ","비디오폰, CCTV, 현관보안, "
일반원룸 드림타운하우스 B1층,"1,000",70,0,1,1,서울시 서초구 반포동 52-14,9.98평/7.86평(전용률79%),15만원,가능,남향(거실 기준),5,6,제2종 근린생활시설,0,1,토토부동산중개사무소,"02-595-3000,010-9048-5142",단층,2000.10.18,"침대, 냉장고, 세탁기, 벽걸이에어컨, ","사설경비, 엘리베이터, 베란다, "
기타 에덴스위트A,"1,000",70,0,1,1,서울시 서초구 반포동 49-13,40.01평/8.62평(전용률22%),0원,불가능,남향(거실 기준),1,4,단독주택,0,1,토토부동산중개사무소,"02-595-3000,010-9048-5142",단층,1995.12.21,"신발장, 냉장고, 세탁기, 벽걸이에어컨, ","사설경비, "
빌라3층,1억,100,0,2,1,서울시 서초구 반포동 720-26,16.33평/12.66평(전용률78%),8만원,가능,북서향(거실 기준),3,4,공동주택,0,1,바른공인중개사사무소,"02-557-0473,010-2677-0474",none,1996.07.15,"싱크대, 인덕션레인지, 벽걸이에어컨, ","사설경비, 베란다, "
빌라3층,1억,100,0,2,1,서울시 서초구 반포동 701-30,23.51평/14.79평(전용률63%),0원,불가능,남동향(거실 기준),2,4,공동주택,0,1,"주식회사 더탑부동산중개법인
",02-555-2213,none,2002.10.30,"현관보안, 베란다, ",none
빌라 초원빌리지2층,"3,000",150,0,1,1,서울시 서초구 반포동 715-34,8.55평/5.98평(전용률70%),3만원,불가능,서향(안방 기준),저,2,단독주택,0,1,그레이스부동산중개,"02-552-5501,010-7214-2400",단층,1988.11.23,"가스레인지, 세탁기, 싱크대, 벽걸이에어컨, ","베란다, "
다가구2층,"1,000",65,0,1,1,서울시 서초구 반포동 711-3,8.98평/8.98평(전용률100%),5만원,가능,남동향(거실 기준),2,3,단독주택,0,1,대영부동산공인중개사사무소,"02-515-5471,010-4776-7276",단층,1998.06.08,"신발장, 냉장고, 세탁기, 싱크대, 가스레인지, 벽걸이에어컨, ","베란다, "
다가구 벨라지오텔 1동2층,"1,000",80,0,1,1,서울시 서초구 반포동 727-7,9.01평/8.34평(전용률93%),7만원,가능,북향(안방 기준),2,5,단독주택,0,1,"오늘의공간 공인중개사사무소
",010-2205-8423,단층,2001.06.30,"냉장고, 세탁기, 싱크대, 책상, 옷장, 붙박이장, 침대, 신발장, 전자레인지, 인덕션레인지, 샤워부스, ","현관보안, CCTV, 베란다, "
빌라 초원빌리지중층,"3,000",150,0,2,1,서울시 서초구 반포동 701-30,23.51평/14.79평(전용률63%),0원,가능,남동향(거실 기준),중,4,공동주택,0,1,가치중심부동산중개사무소,"02-523-6878,010-9047-6878",none,2002.10.30,"현관보안, 베란다, ",none
빌라3층,"1,000",75,0,1,1,서울시 서초구 반포동 728-25,7.25평/5.44평(전용률75%),10만원,가능,남향(안방 기준),3,5,공동주택,0,1,월드공인중개사사무소,02-518-5185,none,2021.03.15,"옷장, 붙박이장, 신발장, 냉장고, 세탁기, 싱크대, 인덕션레인지, 전자레인지, 벽걸이에어컨, ","비디오폰, 인터폰, CCTV, 현관보안, 엘리베이터, "
빌라4층,"1,000",70,0,1,1,서울시 서초구 반포동 742-15,10.2평/7.36평(전용률72%),10만원,불가능,남향(안방 기준),4,6,공동주택,0,1,월드공인중개사사무소,02-518-5185,none,2016.11.17,"붙박이장, 신발장, 냉장고, 세탁기, 싱크대, 인덕션레인지, 벽걸이에어컨, ","비디오폰, CCTV, 현관보안, 엘리베이터, "
빌라4층,"1,000",70,0,1,1,서울시 서초구 반포동 726-30,7.98평/7.98평(전용률100%),5만원,가능,남향(거실 기준),3,3,단독주택,0,1,대영부동산공인중개사사무소,"02-515-5471,010-4776-7276",단층,1995.11.06,"냉장고, 세탁기, 인덕션레인지, 벽걸이에어컨, ","사설경비, 베란다, "
다가구 삼우주택3층,"1,000",58,0,2,1,서울시 서초구 반포동 612-125,21.26평/13.81평(전용률65%),6만원,가능,남향(거실 기준),저,4,공동주택,0,1,"허브공인중개사사무소
","02-534-8549,010-2744-3059",none,2015.07.21,none,none
다가구B1층,500,35,0,1,1,서울시 서초구 반포동 703-27,6.98평/6.98평(전용률100%),0원,불가능,동향(안방 기준),B1,2,단독주택,0,1,대영부동산공인중개사사무소,"02-515-5471,010-4776-7276",단층,1986.08.23,"싱크대, 벽걸이에어컨, ",none
다가구B1층,500,35,0,1,1,서울시 서초구 반포동 727-7,6.98평/6.98평(전용률100%),7만원,가능,서향(거실 기준),2,5,단독주택,0,1,대영부동산공인중개사사무소,"02-515-5471,010-4776-7276",단층,2001.06.30,"냉장고, 세탁기, 싱크대, 인덕션레인지, 전자레인지, 벽걸이에어컨, ","현관보안, 엘리베이터, 베란다, "
다가구 벨라지오텔2층,"1,000",80,0,1,1,서울시 서초구 반포동 703-27,6.99평/5.99평(전용률86%),0원,불가능,남향(안방 기준),1,2,단독주택,0,1,고려부동산,"02-3445-6162,010-8949-2550",단층,1986.08.23,"싱크대, 벽걸이에어컨, ",none
다가구1층,300,35,0,1,1,서울시 서초구 반포동 721-16,6.98평/6.98평(전용률100%),5만원,불가능,서향(안방 기준),B1,2,단독주택,0,1,대영부동산공인중개사사무소,"02-515-5471,010-4776-7276",단층,1988.12.15,"냉장고, 세탁기, 싱크대, 가스레인지, 벽걸이에어컨, ","베란다, "
기타2층,"1,000",68,0,1,1,서울시 서초구 반포동 734-16,7.44평/5.59평(전용률75%),0.0015만원,불가능,북동향(거실 기준),2,5,공동주택,0,1,강남투유공인중개사사무소,"02-000-0000,010-5694-9458",none,2013.05.10,"비디오폰, CCTV, 엘리베이터, ",none
기타2층,"1,000",68,0,1,1,서울시 서초구 반포동 719-15,46.31평/5.74평(전용률12%),5만원,불가능,남향(거실 기준),2,3,단독주택,0,1,"오렌지하우스공인중개사사무소
","02-512-4243,010-9138-1122",단층,1991.09.20,"가스레인지, 싱크대, 벽걸이에어컨, ","베란다, "
일반원룸 럭키하우스2층,500,50,0,2,1,서울시 서초구 반포동 727-18,10.67평/10.67평(전용률100%),10만원,불가능,남향(거실 기준),저,3,단독주택,0,1,"더탑부동산중개법인
",02-555-2298,단층,1995.12.13,"냉장고, 붙박이장, 세탁기, 신발장, 싱크대, 인덕션레인지, 벽걸이에어컨, ","방범창, 인터폰, 현관보안, 베란다, "
다가구저층,"1,000",80,0,1,1,서울시 서초구 반포동 711-3,9.38평/9.38평(전용률100%),5만원,가능,남서향(거실 기준),2,3,단독주택,0,1,"더탑부동산중개법인
",02-555-2298,단층,1998.06.08,"가스레인지, 냉장고, 세탁기, 신발장, 싱크대, 벽걸이에어컨, ","인터폰, 현관보안, 베란다, "
다가구저층,"1,000",85,0,2,1,서울시 서초구 반포동 727-18,13.99평/12.99평(전용률93%),5만원,불가능,남향(안방 기준),저,3,단독주택,0,1,"강남ON공인중개사사무소
",02-6949-2300,단층,1995.12.13,"냉장고, 세탁기, 싱크대, 붙박이장, 신발장, 가스레인지, ","현관보안, CCTV, "
다가구저층,500,48,0,1,1,서울시 서초구 반포동 719-8,6.98평/6.98평(전용률100%),5만원,가능,동향(안방 기준),B1,3,단독주택,0,1,대영부동산공인중개사사무소,"02-515-5471,010-4776-7276",단층,1995.01.04,"신발장, 냉장고, 세탁기, 싱크대, 가스레인지, 벽걸이에어컨, ","베란다, "
다가구B1층,500,48,0,1,1,서울시 서초구 반포동 719,7.98평/7.98평(전용률100%),2만원,불가능,남동향(거실 기준),B1,3,단독주택,0,1,대영부동산공인중개사사무소,"02-515-5471,010-4776-7276",단층,1994.10.29,"신발장, 싱크대, 벽걸이에어컨, ","베란다, "
다가구B1층,"1,000",50,0,1,1,서울시 서초구 반포동 81-10,11.97평/7.98평(전용률67%),10만원,가능,동향(거실 기준),고,4,공동주택,0,1,부티크부동산중개,010-5055-0022,none,1995.11,none,none
일반원룸3층,"2,000",80,0,1,1,서울시 서초구 반포동 612-139,11.1평/6.34평(전용률57%),10만원,가능,남서향(거실 기준),3,5,공동주택,0,1,하나공인중개사사무소,"02-593-3332,010-2227-5210",단층,2019.09.25,none,none
일반원룸3층,"2,000",80,0,2,1,서울시 서초구 반포동 739,15.12평/14.52평(전용률96%),7만원,가능,남향(거실 기준),3,3,단독주택,0,1,"주식회사 찾아줄가부동산중개법인
",010-6641-1812,단층,1988.03.08,"붙박이장, 싱크대, 벽걸이에어컨, ",none
다가구3층,"2,000",90,0,1,1,서울시 서초구 반포동 719-17,9.98평/9.98평(전용률100%),3만원,가능,남동향(거실 기준),2,3,단독주택,0,1,대영부동산공인중개사사무소,"02-515-5471,010-4776-7276",단층,1996.04.01,"냉장고, 세탁기, 싱크대, 가스레인지, 벽걸이에어컨, ","베란다, "
다가구 태경빌라2층,500,70,0,1,1,서울시 서초구 반포동 728-15,9.66평/8.45평(전용률87%),10만원,가능,동향(안방 기준),4,5,공동주택,0,1,대영부동산공인중개사사무소,"02-515-5471,010-4776-7276",none,2003.06.07,"옷장, 세탁기, 싱크대, 가스레인지, 벽걸이에어컨, ","현관보안, 베란다, "
빌라 계림주택4층,"1,000",75,0,1,1,서울시 서초구 반포동 577-20,4.99평/4.99평(전용률100%),12만원,불가능,북향(거실 기준),고,4,제2종 근린생활시설,0,1,플러스공인중개사사무소,"02-534-4100,010-5252-0325",none,1990.05.25,"옷장, 신발장, 냉장고, 세탁기, 샤워부스, 인덕션레인지, 벽걸이에어컨, ","사설경비, 현관보안, 베란다, "
빌라 라이브러리고층,"1,000",90,0,1,1,서울시 서초구 반포동 719-15,6.98평/6.98평(전용률100%),5만원,불가능,남향(안방 기준),B1,3,단독주택,0,1,대영부동산공인중개사사무소,"02-515-5471,010-4776-7276",단층,1991.09.20,"신발장, 냉장고, 세탁기, 싱크대, 가스레인지, 벽걸이에어컨, ","베란다, "
다가구 럭키하우스B1층,300,38,0,1,1,서울시 서초구 반포동 728-25,6.96평/5.29평(전용률76%),10만원,가능,남동향(거실 기준),3,5,공동주택,0,1,"망고부동산중개
","02-568-1789,010-6540-9194",단층,2021.03.15,"옷장, 붙박이장, 신발장, 냉장고, 세탁기, 샤워부스, 싱크대, 인덕션레인지, 벽걸이에어컨, ","비디오폰, 인터폰, 현관보안, 엘리베이터, "
더샵반포리버파크(도시형) 1동6층,10억,320,0,1,1,서울시 서초구 반포동 81-10,11.42평/7.62평(전용률67%),7.5만원,불가능,남동향(거실 기준),3,4,공동주택,0,1,동양공인중개사사무소,02-3476-6111,단층,1995.11.01,none,none
일반원룸 그린하우스3층,"2,000",90,0,2,1,서울시 서초구 반포동 733-29,15.99평/12평(전용률75%),5만원,불가능,남서향(거실 기준),2,5,공동주택,0,1,"서초믿음공인중개사사무소
","02-511-1411,010-7979-1411",단층,1992.09.09,"신발장, 비데, 싱크대, 가스레인지, 벽걸이에어컨, ","사설경비, "
다가구2층,"2,000",95,0,1,1,서울시 서초구 반포동 734-16,7.41평/5.62평(전용률76%),15만원,가능,남동향(안방 기준),2,5,단독주택,0,1,바른공인중개사사무소,"02-557-0473,010-2677-0474",단층,2013.05.10,"침대, 붙박이장, 신발장, 냉장고, 세탁기, 샤워부스, 싱크대, 인덕션레인지, 벽걸이에어컨, ","CCTV, 현관보안, 베란다, "
일반원룸2층,"1,000",68,0,1,1,서울시 서초구 반포동 80-1,10평/10평(전용률100%),5만원,불가능,남동향(안방 기준),중,4,공동주택,0,1,월드공인중개사사무소,"02-599-8884,010-2540-2355",none,1997.09.20,"냉장고, 벽걸이에어컨, ","사설경비, 베란다, "
다가구2층,"3,000",55,0,1,1,서울시 서초구 반포동 733-37,8.98평/8.98평(전용률100%),7만원,불가능,동향(안방 기준),2,3,단독주택,0,1,대영부동산공인중개사사무소,"02-515-5471,010-4776-7276",단층,1995.12.11,"냉장고, 세탁기, 가스레인지, 벽걸이에어컨, ","사설경비, 베란다, "
다가구2층,"3,000",55,0,2,1,서울시 서초구 반포동 107-30,16.39평/13.39평(전용률82%),0원,불가능,남동향(거실 기준),중,3,단독주택,0,1,채널공인중개사사무소,"02-3482-5001,010-9939-8448",단층,1997.05.01,none,none
일반원룸2층,500,58,0,1,1,서울시 서초구 반포동 726-24,9.98평/7.98평(전용률80%),10만원,가능,북향(거실 기준),2,3,단독주택,0,1,한백부동산중개사무소,"02-555-2231,010-4630-0082",단층,1993.11.30,"옷장, 신발장, 냉장고, 세탁기, 싱크대, 가스레인지, 벽걸이에어컨, ","현관보안, 베란다, "
빌라 1동3층,"5,000",55,0,1,1,서울시 서초구 반포동 731-25,7.98평/6.05평(전용률76%),5만원,가능,북동향(안방 기준),3,5,공동주택,0,1,"주식회사 더탑부동산중개법인
","02-555-2297,010-7448-2180",none,2012.12.18,"냉장고, 세탁기, 싱크대, 가스레인지, ","CCTV, 현관보안, "
빌라 1동3층,"5,000",55,0,1,1,서울시 서초구 반포동 711-17,6.98평/6.98평(전용률100%),5만원,불가능,서향(거실 기준),B1,2,단독주택,0,1,대영부동산공인중개사사무소,"02-515-5471,010-4776-7276",단층,1989.12.04,"신발장, 냉장고, 세탁기, 싱크대, 가스레인지, 벽걸이에어컨, ","베란다, "
다가구B1층,500,40,0,1,1,서울시 서초구 반포동 711-3,28.15평/9.38평(전용률33%),10만원,가능,동향(거실 기준),2,3,단독주택,0,1,대박공인중개사사무소,"02-565-8942,010-2311-2196",단층,1998.06.08,"가스레인지, 냉장고, 세탁기, 싱크대, 욕조, 벽걸이에어컨, ","현관보안, 베란다, "
다가구2층,"1,000",78,0,1,1,서울시 서초구 반포동 711-3,9.38평/9.38평(전용률100%),5만원,불가능,남서향(거실 기준),2,3,단독주택,0,1,"주식회사 더탑부동산중개법인
",02-555-2213,단층,1998.06.08,"가스레인지, 냉장고, 세탁기, 싱크대, 벽걸이에어컨, ","베란다, "
